Main ID,Incident ID,Incident Type,Region of Incident,Incident Date,Incident Year,Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Country of Origin,Region of Origin,Cause of Death,Country of Incident,Migration Route,Location of Incident,Coordinates,UNSD Geographical Grouping,Information Source,URL,Source Quality,latitude,longitude,weather_data,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunrise,sunset,daylight_duration,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2014.MMP00078,2014.MMP00078,Incident,Mediterranean,2014-05-05,2014,May,22.0,7.0,29,36.0,,,,Unknown,Unknown,Drowning,Greece,Eastern Mediterranean,Waters near Greece,"37.848433, 27",Uncategorized,BBC,http://bbc.in/1saJIBD,1,37.848433,27,"                       date  weather_code  temperature_2m_max  \
0 2014-05-05 00:00:00+00:00          53.0             18.7955   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           15.045501            17.789249        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       50051.996094                1.5           19.255793   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           35.639999                   200.078308  ",2014-05-05 00:00:00+00:00,53.0,18.7955,15.045501,17.78925,0,0,50051.996,1.5000001,19.255793,35.64,200.07831
2014.MMP00080,2014.MMP00080,Incident,Mediterranean,2014-05-06,2014,May,44.0,33.0,77,53.0,,,,Unknown,Sub-Saharan Africa (P),Drowning,Libya,Central Mediterranean,Coast of Libya,"32.6801, 16",Uncategorized,Relief Web/UNHCR,http://bit.ly/1okLiQ5,4,32.6801,16,"                       date  weather_code  temperature_2m_max  \
0 2014-05-06 00:00:00+00:00           2.0               18.35   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0                16.6            17.489584        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       48987.320312                0.0           19.671949   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           27.359999                    18.270037  ",2014-05-06 00:00:00+00:00,2.0,18.35,16.6,17.489584,0,0,48987.32,0.0,19.67195,27.359999,18.270037
2014.MMP00081,2014.MMP00081,Incident,Mediterranean,2014-05-07,2014,May,1.0,0.0,1,,,1.0,,Eritrea,Eastern Africa,Mixed or unknown,Libya,Central Mediterranean,Mediterranean waters,"35.8196, 12",Uncategorized,ANSA Med,http://bit.ly/1iVme2J,1,35.8196,12,"                       date  weather_code  temperature_2m_max  \
0 2014-05-07 00:00:00+00:00           1.0                18.0   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           16.549999            17.374998        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       49793.109375                0.0           28.236486   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           36.719997                   159.267075  ",2014-05-07 00:00:00+00:00,1.0,18.0,16.55,17.374998,0,0,49793.11,0.0,28.236486,36.719997,159.26707
2014.MMP00086,2014.MMP00086,Incident,Mediterranean,2014-05-12,2014,May,17.0,200.0,217,226.0,12.0,2.0,3.0,Unknown,Sub-Saharan Africa (P),Drowning,Libya,Central Mediterranean,International waters between Libya and Italy,"34.7086, 16",Uncategorized,ANSA Med and Relief Web. Also see NYT http://www.nytimes.com/2014/05/13/world/europe/at-least-14-die-as-migrant-boat-headed-for-italy-sinks-off-libyan-coast.html?_r=0,http://bit.ly/1mh7JHc,3,34.7086,16,"                       date  weather_code  temperature_2m_max  \
0 2014-05-12 00:00:00+00:00           1.0           19.950001   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0                18.1            19.181253        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       50031.867188                0.0            18.35647   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0                23.4                   210.992569  ",2014-05-12 00:00:00+00:00,1.0,19.95,18.1,19.181253,0,0,50031.867,0.0,18.35647,23.4,210.99257
2014.MMP00090,2014.MMP00090,Incident,Mediterranean,2014-05-23,2014,May,1.0,0.0,1,,,1.0,1.0,Afghanistan,Southern Asia,Accidental death,Greece,Eastern Mediterranean,Greece,"39.5061, 20",Uncategorized,Afghan immigrant dies in back of truck,http://bit.ly/TzKj34,1,39.5061,20,"                       date  weather_code  temperature_2m_max  \
0 2014-05-23 00:00:00+00:00           3.0           21.491999   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           16.991999            19.431581        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0         52448.9375                0.0            8.825508   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0               20.16                    243.43483  ",2014-05-23 00:00:00+00:00,3.0,21.491999,16.991999,19.431581,0,0,52448.938,0.0,8.825508,20.16,243.43483
2014.MMP00099,2014.MMP00099,Incident,Mediterranean,2014-06-05,2014,June,3.0,0.0,3,,,,,Unknown,Unknown,Mixed or unknown,Italy,Central Mediterranean,Italian waters,"35.358, 13",Uncategorized,Reuters,http://reut.rs/2bBvz2p,1,35.358,13,"                       date  weather_code  temperature_2m_max  \
0 2014-06-05 00:00:00+00:00           0.0               21.85   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0                19.9            20.777084        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       51975.355469                0.0           12.727921   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0               15.84                   168.690079  ",2014-06-05 00:00:00+00:00,0.0,21.85,19.9,20.777084,0,0,51975.355,0.0,12.7279215,15.84,168.69008
2014.MMP00101,2014.MMP00101,Incident,Mediterranean,2014-06-08,2014,June,4.0,,4,,,,,Central African Republic,Middle Africa,Drowning,Italy,Central Mediterranean,Italian waters,"35.4125, 12",Uncategorized,The Guardian,http://bit.ly/1qNxMp5,1,35.4125,12,"                       date  weather_code  temperature_2m_max  \
0 2014-06-08 00:00:00+00:00           0.0                22.9   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               21.15            22.045832        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0        52125.96875                0.0           16.808569   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           18.359999                     7.986012  ",2014-06-08 00:00:00+00:00,0.0,22.9,21.15,22.045832,0,0,52125.97,0.0,16.808569,18.359999,7.986012
2014.MMP00102,2014.MMP00102,Incident,Mediterranean,2014-06-09,2014,June,3.0,2.0,5,0.0,,,,Unknown,Unknown,Drowning,Italy,Central Mediterranean,Italian waters,"36.4935, 14",Uncategorized,The Guardian,http://bit.ly/1kal8el,1,36.4935,14,"                       date  weather_code  temperature_2m_max  \
0 2014-06-09 00:00:00+00:00           0.0               24.15   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0                21.4            22.583334        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52540.132812                0.0           14.440443   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           17.639999                    22.365145  ",2014-06-09 00:00:00+00:00,0.0,24.15,21.4,22.583334,0,0,52540.133,0.0,14.440443,17.64,22.365145
2014.MMP00114,2014.MMP00114,Incident,Mediterranean,2014-06-14,2014,June,10.0,0.0,10,39.0,,,,Unknown,Unknown,Drowning,Libya,Central Mediterranean,Between Libya and Sicily,"34.2775, 15",Uncategorized,Reuters,http://reut.rs/1qNxMVT,1,34.2775,15,"                       date  weather_code  temperature_2m_max  \
0 2014-06-14 00:00:00+00:00           1.0               23.85   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               22.65            23.145834        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       51931.179688                0.0           18.129137   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0               22.68                   290.842377  ",2014-06-14 00:00:00+00:00,1.0,23.85,22.65,23.145834,0,0,51931.18,0.0,18.129137,22.68,290.84238
2014.MMP00116,2014.MMP00116,Incident,Mediterranean,2014-06-15,2014,June,1.0,0.0,1,356.0,,,,Syrian Arab Republic,Western Asia,Mixed or unknown,Italy,Central Mediterranean,Central Med Route - Sicily,"35.9061, 12",Uncategorized,BBC ,http://bbc.in/V7Onc6,1,35.9061,12,"                       date  weather_code  temperature_2m_max  \
0 2014-06-15 00:00:00+00:00          51.0               24.75   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0                23.6            24.000002        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52487.667969                0.1           25.862436   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           29.519999                   192.591309  ",2014-06-15 00:00:00+00:00,51.0,24.75,23.6,24.000002,0,0,52487.668,0.1,25.862436,29.519999,192.59131
2014.MMP00121,2014.MMP00121,Incident,Mediterranean,2014-06-18,2014,June,4.0,0.0,4,0.0,,,,Unknown,Unknown,Violence,Morocco,Western Mediterranean,Morocco/Spain border near Melilla,"35.2783, -3",Uncategorized,L'Espresso ,http://bit.ly/U4b8wu,1,35.2783,-3,"                       date  weather_code  temperature_2m_max  \
0 2014-06-18 00:00:00+00:00           1.0           28.311501   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           17.761501            23.028168        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52311.769531                0.0           15.226764   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           37.079998                    19.983183  ",2014-06-18 00:00:00+00:00,1.0,28.3115,17.761501,23.028168,0,0,52311.77,0.0,15.226764,37.079998,19.983183
2014.MMP00127,2014.MMP00127,Incident,Mediterranean,2014-06-27,2014,June,0.0,240.0,240,0.0,,,,Eritrea,Eastern Africa,Drowning,Libya,Central Mediterranean,"TBC - boat went missing, not recovered","34.6033, 17",Uncategorized,IOM Rome Office - Flavio Di Giacomo ,,4,34.6033,17,"                       date  weather_code  temperature_2m_max  \
0 2014-06-27 00:00:00+00:00           0.0           26.450001   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               24.25            24.904165        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52059.066406                0.0           27.248457   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           33.119999                   344.826996  ",2014-06-27 00:00:00+00:00,0.0,26.45,24.25,24.904165,0,0,52059.066,0.0,27.248457,33.12,344.827
2014.MMP00129,2014.MMP00129134,Split Incident,Mediterranean,2014-06-29,2014,June,,1.0,1,,,,,"Morocco,Syrian Arab Republic,Unknown",Northern Africa,Drowning,Libya,Central Mediterranean,Unspecified location between North Africa and Italy. Survivors taken to Porto Empedocle in Sicily.,"36.1838, 13",Uncategorized,Yahoo! News ,https://au.news.yahoo.com/world/a/24373313/80-more-migrants-drown-in-latest-italy-boat-tragedy/,1,36.1838,13,"                       date  weather_code  temperature_2m_max  \
0 2014-06-29 00:00:00+00:00           1.0                24.5   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               23.25            23.927086        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52536.484375                0.0           26.758923   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           34.560001                   156.291519  ",2014-06-29 00:00:00+00:00,1.0,24.5,23.25,23.927086,0,0,52536.484,0.0,26.758923,34.56,156.29152
2014.MMP00129,2014.MMP00129135,Split Incident,Mediterranean,2014-06-29,2014,June,,3.0,3,,,,,"Morocco,Syrian Arab Republic,Unknown",Sub-Saharan Africa (P),Drowning,Libya,Central Mediterranean,Unspecified location between North Africa and Italy. Survivors taken to Porto Empedocle in Sicily.,"36.1838, 13",Uncategorized,Yahoo! News ,https://au.news.yahoo.com/world/a/24373313/80-more-migrants-drown-in-latest-italy-boat-tragedy/,1,36.1838,13,"                       date  weather_code  temperature_2m_max  \
0 2014-06-29 00:00:00+00:00           1.0                24.5   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               23.25            23.927086        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52536.484375                0.0           26.758923   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           34.560001                   156.291519  ",2014-06-29 00:00:00+00:00,1.0,24.5,23.25,23.927086,0,0,52536.484,0.0,26.758923,34.56,156.29152
2014.MMP00129,2014.MMP00129133,Split Incident,Mediterranean,2014-06-29,2014,June,2.0,,2,,,4.0,,"Morocco,Syrian Arab Republic,Unknown",Western Asia,Drowning,Libya,Central Mediterranean,Unspecified location between North Africa and Italy. Survivors taken to Porto Empedocle in Sicily.,"36.1838, 13",Uncategorized,Yahoo! News ,https://au.news.yahoo.com/world/a/24373313/80-more-migrants-drown-in-latest-italy-boat-tragedy/,1,36.1838,13,"                       date  weather_code  temperature_2m_max  \
0 2014-06-29 00:00:00+00:00           1.0                24.5   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               23.25            23.927086        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52536.484375                0.0           26.758923   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           34.560001                   156.291519  ",2014-06-29 00:00:00+00:00,1.0,24.5,23.25,23.927086,0,0,52536.484,0.0,26.758923,34.56,156.29152
2014.MMP00130,2014.MMP00130,Incident,Mediterranean,2014-06-29,2014,June,45.0,,45,566.0,,45.0,,"Cameroon,Somalia,Syrian Arab Republic",Unknown,Vehicle accident / death linked to hazardous transport,Libya,Central Mediterranean,Unspecified location between North Africa and Italy. Survivors taken to Pozzallo,"36.222841, 14.688719",Uncategorized,Oman Daily Observer ,http://bit.ly/1s1NEnD,1,36.222841,14.688719,"                       date  weather_code  temperature_2m_max  \
0 2014-06-29 00:00:00+00:00           1.0           24.200001   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           22.799999             23.54167        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0         52560.5625                0.0           17.227419   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           22.319998                   186.237885  ",2014-06-29 00:00:00+00:00,1.0,24.2,22.8,23.54167,0,0,52560.562,0.0,17.227419,22.319998,186.23788
2014.MMP00131,2014.MMP00131,Incident,Mediterranean,2014-07-01,2014,July,0.0,75.0,75,27.0,,,,Unknown,Unknown,Drowning,Italy,Central Mediterranean,"Recued off Sicily; taken to Catania, Sicily","36.4317, 15.8313",Uncategorized,Yahoo! News ,http://yhoo.it/VJXUqq,1,36.4317,15.8313,"                       date  weather_code  temperature_2m_max  \
0 2014-07-01 00:00:00+00:00           0.0                24.5   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               23.65            24.070833        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52578.695312                0.0           21.892027   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           29.879999                    63.119446  ",2014-07-01 00:00:00+00:00,0.0,24.5,23.65,24.070833,0,0,52578.695,0.0,21.892027,29.88,63.119446
2014.MMP00135,2014.MMP00135,Incident,Mediterranean,2014-07-05,2014,July,13.0,,13,,,,,,Unknown,Mixed or unknown,Libya,Central Mediterranean,Boat drifting in Libyan waters,"33.0335, 15",Uncategorized,IANS,http://bit.ly/1owlyg0,1,33.0335,15,"                       date  weather_code  temperature_2m_max  \
0 2014-07-05 00:00:00+00:00           0.0                25.6   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               24.15             24.90625        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       51330.691406                0.0           18.532135   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           23.759998                   122.144791  ",2014-07-05 00:00:00+00:00,0.0,25.6,24.15,24.90625,0,0,51330.69,0.0,18.532135,23.759998,122.14479
2014.MMP00137,2014.MMP00137144,Split Incident,Mediterranean,2014-07-06,2014,July,3.0,,3,,,,,"Eritrea,Syrian Arab Republic,Unknown",Eastern Africa,Drowning,Libya,Central Mediterranean,Off the coast of Tripoli (capsized boat),"32.9615, 13",Uncategorized,Reuters ,http://bit.ly/1tj27A3,1,32.9615,13,"                       date  weather_code  temperature_2m_max  \
0 2014-07-06 00:00:00+00:00           1.0           36.322998   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0              26.573            30.825081        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       51271.417969                0.0           12.245294   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           25.919998                   138.366486  ",2014-07-06 00:00:00+00:00,1.0,36.322998,26.573,30.82508,0,0,51271.418,0.0,12.245294,25.919998,138.36649
2014.MMP00137,2014.MMP00137145,Split Incident,Mediterranean,2014-07-06,2014,July,6.0,188.0,194,,,,,"Eritrea,Syrian Arab Republic,Unknown",Unknown,Drowning,Libya,Central Mediterranean,Off the coast of Tripoli (capsized boat),"32.9615, 13",Uncategorized,Reuters ,http://bit.ly/1tj27A3,1,32.9615,13,"                       date  weather_code  temperature_2m_max  \
0 2014-07-06 00:00:00+00:00           1.0           36.322998   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0              26.573            30.825081        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       51271.417969                0.0           12.245294   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           25.919998                   138.366486  ",2014-07-06 00:00:00+00:00,1.0,36.322998,26.573,30.82508,0,0,51271.418,0.0,12.245294,25.919998,138.36649
2014.MMP00137,2014.MMP00137143,Split Incident,Mediterranean,2014-07-06,2014,July,3.0,,3,0.0,1.0,,2.0,"Eritrea,Syrian Arab Republic,Unknown",Western Asia,Drowning,Libya,Central Mediterranean,Off the coast of Tripoli (capsized boat),"32.9615, 13",Uncategorized,Reuters ,http://bit.ly/1tj27A3,1,32.9615,13,"                       date  weather_code  temperature_2m_max  \
0 2014-07-06 00:00:00+00:00           1.0           36.322998   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0              26.573            30.825081        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       51271.417969                0.0           12.245294   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           25.919998                   138.366486  ",2014-07-06 00:00:00+00:00,1.0,36.322998,26.573,30.82508,0,0,51271.418,0.0,12.245294,25.919998,138.36649
2014.MMP00141,2014.MMP00141,Incident,Mediterranean,2014-07-11,2014,July,4.0,21.0,25,13.0,1.0,2.0,1.0,Unknown,Unknown,Drowning,Türkiye,Eastern Mediterranean,Aegean Sea,"37.862031, 26.921962",Uncategorized,Greek Reporter ,http://bit.ly/2akKh88,1,37.862031,26.921962,"                       date  weather_code  temperature_2m_max  \
0 2014-07-11 00:00:00+00:00           0.0             26.1705   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           23.120501            24.674667        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       52594.757812                0.0           23.444265   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           45.719997                   180.657822  ",2014-07-11 00:00:00+00:00,0.0,26.1705,23.1205,24.674667,0,0,52594.758,0.0,23.444265,45.719997,180.65782
